heading,sub_heading,code
Create and Use Virtual Environments#,Create a new virtual environment#,python3 -m venv .venv
Create and Use Virtual Environments#,Create a new virtual environment#,python3 -m venv .venv
,Create a new virtual environment#,python3 -m venv .venv
,Activate a virtual environment#,source .venv/bin/activate
,Deactivate a virtual environment#,deactivate
,Reactivate a virtual environment#,
Prepare pip#,,"python3 -m pip install --upgrade pip
python3 -m pip --version"
Install packages using pip#,Install a package#,python3 -m pip install requests
,Install a package#,python3 -m pip install requests
,Install a specific package version#,python3 -m pip install 'requests==2.18.4'
,Install extras#,python3 -m pip install 'requests[security]'
,Install a package from source#,"cd google-auth
python3 -m pip install ."
,Install from version control systems#,google-auth @ git+https://github.com/GoogleCloudPlatform/google-auth-library-python.git
,Install from local archives#,python3 -m pip install requests-2.18.4.tar.gz
,Install from other package indexes#,python3 -m pip install --index-url http://index.example.com/simple/ SomeProject
Upgrading packages#,,python3 -m pip install --upgrade requests
Using a requirements file#,,"requests==2.18.4
google-auth==1.1.0"
Freezing dependencies#,,python3 -m pip freeze
